dir,workDir,nrg,nConv,irredKpts,aV,bV,cV,alpha,beta,gamma,vol,bgVBM,bgCBM,bgIND,,rel,z,abs,sumrel,mAg(da),mBi(Da),mI(Da),da2g,cubA2cubCm,den(g/cm3),scalDen,avgDen
/gpfs/scratch/vkb5066/agbii4Finals/s4Gamma/10095,10095,-120.1172525,1,36,12.68138151,12.68346928,12.68137117,89.9909611,89.99061675,89.99185128,2039.721284,2.10361,2.033587,2.032416,,0.998777867,42.23143505,0.023650105,1,107.87,208.98,126.9,1.66E-24,1E-24,5.37E+00,1.27E-01,5.34E+00
/gpfs/scratch/vkb5066/agbii4Finals/s4Gamma/10131,10131,-119.9643666,1,36,12.72606415,12.72565906,12.72744573,89.99099275,89.99065041,89.99187946,2061.178624,1.779797,1.685163,1.650827,,0.735654515,,0.017419595,,,,,,,5.31E+00,9.26E-02,
/gpfs/scratch/vkb5066/agbii4Finals/s4Gamma/1015,1015,-119.9659799,1,36,12.70993385,12.70987685,12.70803004,89.99098013,89.9906374,89.99186916,2052.876626,1.777674,1.680416,1.647032,,0.738031996,,0.017475892,,,,,,,5.34E+00,9.32E-02,
/gpfs/scratch/vkb5066/agbii4Finals/s4Gamma/10257,10257,-119.9643679,1,36,12.72609976,12.72769429,12.72568601,89.99099281,89.99064986,89.99188005,2061.22901,1.782067,1.686166,1.652505,,0.735656368,,0.017419639,,,,,,,5.31E+00,9.26E-02,
/gpfs/scratch/vkb5066/agbii4Finals/s4Gamma/11084,11084,-119.964354,1,36,12.72615625,12.72752488,12.72575098,89.99099277,89.99064991,89.99188002,2061.221247,1.779238,1.681269,1.646953,,0.735635903,,0.017419155,,,,,,,5.31E+00,9.26E-02,
/gpfs/scratch/vkb5066/agbii4Finals/s4Gamma/1115,1115,-119.9662778,1,36,12.70793584,12.70921442,12.70894086,89.99098024,89.99063684,89.99186824,2052.594039,1.778036,1.683053,1.648323,,0.738471891,,0.017486308,,,,,,,5.34E+00,9.33E-02,
/gpfs/scratch/vkb5066/agbii4Finals/s4Gamma/11754,11754,-119.9644137,1,36,12.72735194,12.72558165,12.7274822,89.99280953,89.99074747,89.99101759,2061.380573,1.782322,1.68506,1.650004,,0.735723743,,0.017421235,,,,,,,5.31E+00,9.26E-02,
/gpfs/scratch/vkb5066/agbii4Finals/s4Gamma/1778,1778,-119.9670858,1,36,12.70791238,12.70834543,12.70810407,89.99279904,89.99073323,89.99100438,2052.314772,1.77785,1.679295,1.645769,,0.739666093,,0.017514586,,,,,,,5.34E+00,9.35E-02,
/gpfs/scratch/vkb5066/agbii4Finals/s4Gamma/1785,1785,-119.9658647,1,36,12.70897249,12.70990037,12.71012572,89.99280007,89.99073441,89.99100529,2053.063667,1.777309,1.679459,1.645541,,0.737862018,,0.017471867,,,,,,,5.33E+00,9.32E-02,
/gpfs/scratch/vkb5066/agbii4Finals/s4Gamma/2612,2612,-119.9673825,1,36,12.70741229,12.70837042,12.70646322,89.99192574,89.99109598,89.99027988,2051.973055,1.777523,1.68329,1.647511,,0.740105275,,0.017524985,,,,,,,5.34E+00,9.35E-02,
/gpfs/scratch/vkb5066/agbii4Finals/s4Gamma/2738,2738,-119.9658507,1,36,12.71804838,12.71963709,12.71962068,89.99193353,89.99110452,89.99028835,2057.639732,1.778276,1.681514,1.648629,,0.737841225,,0.017471375,,,,,,,5.32E+00,9.30E-02,
/gpfs/scratch/vkb5066/agbii4Finals/s4Gamma/2774,2774,-120.117558,1,36,12.68178386,12.68330754,12.68314566,89.99191016,89.99107878,89.99026034,2040.045409,2.102719,2.031819,2.030604,,0.999388287,,0.023664559,,,,,,,5.37E+00,1.27E-01,
/gpfs/scratch/vkb5066/agbii4Finals/s4Gamma/2886,2886,-120.1174512,1,36,12.68213001,12.68318631,12.68126947,89.99190955,89.99107811,89.9902604,2039.779807,2.103454,2.032675,2.031387,,0.999174861,,0.023659505,,,,,,,5.37E+00,1.27E-01,
/gpfs/scratch/vkb5066/agbii4Finals/s4Gamma/2915,2915,-119.9642519,1,36,12.72567631,12.72804511,12.72589743,89.99193826,89.99110934,89.99029456,2061.251483,1.78398,1.687792,1.651533,,0.735485775,,0.0174156,,,,,,,5.31E+00,9.25E-02,
/gpfs/scratch/vkb5066/agbii4Finals/s4Gamma/2999,2999,-119.9644476,1,36,12.72705627,12.72896512,12.72676333,89.99193883,89.99111011,89.99029542,2061.764287,1.782694,1.688113,1.653558,,0.735773641,,0.017422416,,,,,,,5.31E+00,9.25E-02,
/gpfs/scratch/vkb5066/agbii4Finals/s4Gamma/3297,3297,-119.9665757,1,36,12.70996588,12.70777396,12.70797946,89.99114985,89.98896946,89.99097115,2052.533958,1.778753,1.680154,1.646741,,0.738911974,,0.017496729,,,,,,,5.34E+00,9.34E-02,
/gpfs/scratch/vkb5066/agbii4Finals/s4Gamma/3471,3471,-119.9668206,1,36,12.70913797,12.70982047,12.70758139,89.99115043,89.98896892,89.99097151,2052.666486,1.777977,1.682842,1.647998,,0.739273878,,0.017505299,,,,,,,5.34E+00,9.34E-02,
/gpfs/scratch/vkb5066/agbii4Finals/s4Gamma/3982,3982,-119.9667471,1,36,12.70913359,12.70763224,12.70966144,89.99115039,89.98896984,89.99097079,2052.648308,1.777455,1.67993,1.645752,,0.739165272,,0.017502727,,,,,,,5.34E+00,9.34E-02,
/gpfs/scratch/vkb5066/agbii4Finals/s4Gamma/4082,4082,-119.9670281,1,36,12.70649721,12.70779866,12.70766861,89.99114975,89.98896782,89.99096982,2051.927599,1.778399,1.681119,1.647606,,0.739580859,,0.017512568,,,,,,,5.34E+00,9.35E-02,
