ID,nrgMin,B(GPa)
10095,-120.11605641,7.354654207386016
10131,-119.96504903,7.5527584391943465
1015,-119.96522763,7.407323564646534
10257,-119.96501895,7.394705143078012
11084,-119.96502327,7.450709759366067
1115,-119.96560383,7.623212813553219
11754,-119.96482931,7.4168828615582605
1778,-119.96654273,7.686417116295626
1785,-119.96511119,7.469331275311467
2612,-119.96722577,7.744345933457238
2738,-119.9635328,7.322126243637302
2774,-120.1166723,7.554718660545452
2886,-120.11624722,7.4860948590001515
2915,-119.96489502,7.3744869802740025
2999,-119.98477458,-2.476527563964905
3297,-119.96591547,7.593666623985335
3471,-119.96612249,7.5779951756451585
3982,-119.96601599,7.3997481951798925
4082,-119.96688903,7.842070255459258
4089,-119.9675956,7.9963028598034365
4209,-119.96525692,7.46992186816935
4249,-120.11746861,7.959403733008198
4304,-119.96359438,7.371541931040616
4424,-119.96754912,7.692300401409067
4431,-119.96718739,7.790598259466706
4531,-119.96807737,7.947338288080508
4572,-120.11696389,7.96172214881544
4884,-119.96590116,7.524691475164708
5152,-120.11742685,7.837381096677123
5180,-119.96448755,7.224117352727395
5326,-119.96648832,7.62399884324116
5372,-120.11752577,8.26816575320926
5613,-119.96420696,7.112753850282415
6504,-119.96552506,7.359768514914084
6770,-119.96584468,7.515824746850827
7256,-119.96727753,7.6625549831433055
7497,-120.11681252,7.580356679547409
7543,-119.96467559,7.35490279393001
7689,-119.96604363,7.439321779903122
7717,-120.11697336,7.627061974215661
7985,-119.9656749,7.668613121533096
8297,-120.11602759,7.329302832568205
8438,-119.96489512,7.329993800199586
8445,-119.96488035,7.4309243523324175
8565,-119.96487722,7.421426718961388
8620,-120.11727655,7.706393579328799
8660,-119.96471309,7.210667390671192
8780,-119.96554008,7.612325238984499
8887,-119.96540197,7.6492303005553905
9572,-119.96490882,7.334891468389224
9870,-119.96637197,7.641197826593645
9954,-119.96763722,7.871257705851222
9983,-120.11609846,7.446920670720165
