dir,workDir,nrg,nConv,irredKpts,aV,bV,cV,alpha,beta,gamma,vol
/gpfs/scratch/vkb5066/agbii4NoSymStruct/all/10095/0.94,0.94,-117.78215644,9,,11.90867139266852500906,11.91076738383741684412,11.90896165867366406026,89.99036982508533043764,89.99000305510777452983,89.99131762630555800425,1689.18390049752600755248
/gpfs/scratch/vkb5066/agbii4NoSymStruct/all/10095/0.97,0.97,-119.64610844,7,,12.28873536674681710159,12.29089825368574465331,12.28903489811262290699,89.99067002530552297110,89.99031460305918738753,89.99158851854973838667,1856.13079466090953304057
/gpfs/scratch/vkb5066/agbii4NoSymStruct/all/10095/1.0,1.0,-120.06574685,1,,12.66879934101841330625,12.67102912355717282354,12.66910813769924412157,89.99095221301028206500,89.99060745737938068290,89.99184315643909038391,2033.73036867373339178379
/gpfs/scratch/vkb5066/agbii4NoSymStruct/all/10095/1.03,1.03,-119.61878683,9,,13.04886331546641972128,13.05115999354094321215,13.04918137742062525842,89.99121796215135042389,89.99088325155640328718,89.99208296032663697675,2222.31208687585302136137
/gpfs/scratch/vkb5066/agbii4NoSymStruct/all/10131/0.94,0.94,-117.54879371,13,,11.90867139266852500906,11.91076738383741684412,11.90896165867366406026,89.99036982508533043764,89.99000305510777452983,89.99131762630555800425,1689.18390049752600755248
/gpfs/scratch/vkb5066/agbii4NoSymStruct/all/10131/0.97,0.97,-119.44384443,9,,12.28873536674681710159,12.29089825368574465331,12.28903489811262290699,89.99067002530552297110,89.99031460305918738753,89.99158851854973838667,1856.13079466090953304057
/gpfs/scratch/vkb5066/agbii4NoSymStruct/all/10131/1.0,1.0,-119.93447455,1,,12.66879934101841330625,12.67102912355717282354,12.66910813769924412157,89.99095221301028206500,89.99060745737938068290,89.99184315643909038391,2033.73036867373339178379
/gpfs/scratch/vkb5066/agbii4NoSymStruct/all/10131/1.03,1.03,-119.63814885,17,,13.04886331546641972128,13.05115999354094321215,13.04918137742062525842,89.99121796215135042389,89.99088325155640328718,89.99208296032663697675,2222.31208687585302136137
/gpfs/scratch/vkb5066/agbii4NoSymStruct/all/1015/0.94,0.94,-117.64948129,13,,11.90867139266852500906,11.91076738383741684412,11.90896165867366406026,89.99036982508533043764,89.99000305510777452983,89.99131762630555800425,1689.18390049752600755248
/gpfs/scratch/vkb5066/agbii4NoSymStruct/all/1015/0.97,0.97,-119.48946642,9,,12.28873536674681710159,12.29089825368574465331,12.28903489811262290699,89.99067002530552297110,89.99031460305918738753,89.99158851854973838667,1856.13079466090953304057
/gpfs/scratch/vkb5066/agbii4NoSymStruct/all/1015/1.0,1.0,-119.96623561,1,,12.66879934101841330625,12.67102912355717282354,12.66910813769924412157,89.99095221301028206500,89.99060745737938068290,89.99184315643909038391,2033.73036867373339178379
/gpfs/scratch/vkb5066/agbii4NoSymStruct/all/1015/1.03,1.03,-119.60268231,9,,13.04886331546641972128,13.05115999354094321215,13.04918137742062525842,89.99121796215135042389,89.99088325155640328718,89.99208296032663697675,2222.31208687585302136137
/gpfs/scratch/vkb5066/agbii4NoSymStruct/all/10257/0.94,0.94,-117.54921649,13,,11.90867139266852500906,11.91076738383741684412,11.90896165867366406026,89.99036982508533043764,89.99000305510777452983,89.99131762630555800425,1689.18390049752600755248
/gpfs/scratch/vkb5066/agbii4NoSymStruct/all/10257/0.97,0.97,-119.44500637,9,,12.28873536674681710159,12.29089825368574465331,12.28903489811262290699,89.99067002530552297110,89.99031460305918738753,89.99158851854973838667,1856.13079466090953304057
/gpfs/scratch/vkb5066/agbii4NoSymStruct/all/10257/1.0,1.0,-119.93529318,1,,12.66879934101841330625,12.67102912355717282354,12.66910813769924412157,89.99095221301028206500,89.99060745737938068290,89.99184315643909038391,2033.73036867373339178379
/gpfs/scratch/vkb5066/agbii4NoSymStruct/all/10257/1.03,1.03,-119.63969172,17,,13.04886331546641972128,13.05115999354094321215,13.04918137742062525842,89.99121796215135042389,89.99088325155640328718,89.99208296032663697675,2222.31208687585302136137
/gpfs/scratch/vkb5066/agbii4NoSymStruct/all/11084/0.94,0.94,-117.54896440,13,,11.90867139266852500906,11.91076738383741684412,11.90896165867366406026,89.99036982508533043764,89.99000305510777452983,89.99131762630555800425,1689.18390049752600755248
/gpfs/scratch/vkb5066/agbii4NoSymStruct/all/11084/0.97,0.97,-119.44410481,9,,12.28873536674681710159,12.29089825368574465331,12.28903489811262290699,89.99067002530552297110,89.99031460305918738753,89.99158851854973838667,1856.13079466090953304057
/gpfs/scratch/vkb5066/agbii4NoSymStruct/all/11084/1.0,1.0,-119.93497894,1,,12.66879934101841330625,12.67102912355717282354,12.66910813769924412157,89.99095221301028206500,89.99060745737938068290,89.99184315643909038391,2033.73036867373339178379
/gpfs/scratch/vkb5066/agbii4NoSymStruct/all/11084/1.03,1.03,-119.63869447,16,,13.04886331546641972128,13.05115999354094321215,13.04918137742062525842,89.99121796215135042389,89.99088325155640328718,89.99208296032663697675,2222.31208687585302136137
/gpfs/scratch/vkb5066/agbii4NoSymStruct/all/1115/0.94,0.94,-117.64930714,13,,11.90867139266852500906,11.91076738383741684412,11.90896165867366406026,89.99036982508533043764,89.99000305510777452983,89.99131762630555800425,1689.18390049752600755248
/gpfs/scratch/vkb5066/agbii4NoSymStruct/all/1115/0.97,0.97,-119.48962927,9,,12.28873536674681710159,12.29089825368574465331,12.28903489811262290699,89.99067002530552297110,89.99031460305918738753,89.99158851854973838667,1856.13079466090953304057
/gpfs/scratch/vkb5066/agbii4NoSymStruct/all/1115/1.0,1.0,-119.96012620,1,,12.66879934101841330625,12.67102912355717282354,12.66910813769924412157,89.99095221301028206500,89.99060745737938068290,89.99184315643909038391,2033.73036867373339178379
/gpfs/scratch/vkb5066/agbii4NoSymStruct/all/1115/1.03,1.03,-119.59734702,9,,13.04886331546641972128,13.05115999354094321215,13.04918137742062525842,89.99121796215135042389,89.99088325155640328718,89.99208296032663697675,2222.31208687585302136137
/gpfs/scratch/vkb5066/agbii4NoSymStruct/all/11754/0.94,0.94,-117.55605561,13,,11.91089611091182172426,11.91086311140060537475,11.90890121189625787336,89.99231119762701156599,89.99010698464492254482,89.99039718970024421060,1689.50447333859442301881
/gpfs/scratch/vkb5066/agbii4NoSymStruct/all/11754/0.97,0.97,-119.44714317,9,,12.29103108740939524436,12.29099703701811164185,12.28897252153451804977,89.99255135882190265661,89.99041531729397788597,89.99069654319384083403,1856.48305042336500857947
/gpfs/scratch/vkb5066/agbii4NoSymStruct/all/11754/1.0,1.0,-119.93576631,1,,12.67116606417511271081,12.67113096283656938387,12.66904383133848261989,89.99277710964363457478,89.99070514928741191594,89.99097793499888669718,2034.11632904713926280670
