dir,workDir,nrg,nConv,irredKpts,aV,bV,cV,alpha,beta,gamma,vol
/gpfs/scratch/vkb5066/bulkNew/poscarsBulkNew/10095/0.985,0.985,-120.04417174,16,14,12.49116078691092513544,12.49321724524468198358,12.49115060506488667189,89.99082228715701532612,89.99047269407620213840,89.99172602841826939950,1949.30375302783558138797
/gpfs/scratch/vkb5066/bulkNew/poscarsBulkNew/10095/0.9925,0.9925,-120.09969957,9,14,12.58627114666046435645,12.58834326386676277804,12.58626088769160068195,89.99089221657078494921,89.99054526623604609360,89.99178912979558793177,1994.17089708431329868303
/gpfs/scratch/vkb5066/bulkNew/poscarsBulkNew/10095/1.0,1.0,-120.11605641,1,14,12.68138150652126058223,12.68346928259601056454,12.68137117032691228627,89.99096109701416428719,89.99061674976966152903,89.99185128460459687896,2039.72128407352763007100
/gpfs/scratch/vkb5066/bulkNew/poscarsBulkNew/10095/1.0075,1.0075,-120.08490213,14,14,12.77649186639306221867,12.77859530133226884648,12.77648145297063294108,89.99102895191390540726,89.99068716898972845775,89.99191251398553034826,2085.96007700886844455225
/gpfs/scratch/vkb5066/bulkNew/poscarsBulkNew/10095/1.015,1.015,-120.01136496,23,14,12.87160222617562550200,12.87372131997538045916,12.87159173562257447875,89.99109580400432388223,89.99075654749030085880,89.99197283845376207627,2132.89243890179400497162
/gpfs/scratch/vkb5066/bulkNew/poscarsBulkNew/10131/0.985,0.985,-119.93494490,18,14,12.53517318906223321376,12.53477417743500379486,12.53653404409024870650,89.99085442322540288280,89.99050686390963284846,89.99175463625981101696,1969.80992357336547316680
/gpfs/scratch/vkb5066/bulkNew/poscarsBulkNew/10131/0.9925,0.9925,-119.95981030,15,14,12.63061866871440648484,12.63021661945867015065,12.63198988591903756703,89.99092410978378472728,89.99057917783821270044,89.99181752143517063385,2015.14905838460123380118
/gpfs/scratch/vkb5066/bulkNew/poscarsBulkNew/10131/1.0,1.0,-119.96504903,1,14,12.72606414837779883722,12.72565906148947963204,12.72744572775639459158,89.99099275101477480358,89.99065040701430002947,89.99187946328551122463,2061.17862363541813412606
/gpfs/scratch/vkb5066/bulkNew/poscarsBulkNew/10131/1.0075,1.0075,-119.92080626,19,14,12.82150962805215815868,12.82110150352727467272,12.82290156960212843158,89.99106037026379619141,89.99072057566410471735,89.99194048287869376946,2107.90383668430216074257
/gpfs/scratch/vkb5066/bulkNew/poscarsBulkNew/10131/1.015,1.015,-119.94050119,91,14,12.91695510773724114128,12.91654394557190022260,12.91835741145605349406,89.99112699018624467457,89.99078970729775689061,89.99200060065985483885,2155.32991488973918734605
/gpfs/scratch/vkb5066/bulkNew/poscarsBulkNew/1015/0.985,0.985,-119.91534005,20,14,12.51928484868782700077,12.51922870271327651476,12.51740959090573773090,89.99084161028621460368,89.99049365445509641500,89.99174417414185616200,1961.87594038503022358654
/gpfs/scratch/vkb5066/bulkNew/poscarsBulkNew/1015/0.9925,0.9925,-119.95187537,10,14,12.61460935103905120037,12.61455277823635069177,12.61271981513365267878,89.99091139367326119741,89.99056606821140387287,89.99180713838402424721,2007.03245863272194471124
